Kids_First_Biospecimen_ID	Kids_First_Participant_ID	sample_id	ATRX_fpkm	DAXX_fpkm	TERT_fpkm	ATRX_fusion	DAXX_fusion	TERT_fusion
BS_J71N7D09	PT_TVK2KY36	7316-2626	112.86	11.04	0.59	NA	NA	NA
BS_J8G4SH4Z	PT_P4ZEFY19	7316-937	81.75	15.32	0.15	NA	NA	NA
BS_J8VX4D17	PT_7E3V3JFX	7316-506	26.41	18.7	0	NA	NA	NA
BS_JAEM78XS	PT_82MX6J77	7316-2148	44.01	9.91	0	NA	NA	NA
BS_JB43XBCQ	PT_1E3E6GMF	A09985	16.91	20.39	0.02	NA	NA	NA
BS_JBGZ7HHZ	PT_FZHGKJ0H	7316-4033	22.1	11.47	0	NA	NA	NA
BS_JCPKYHKY	PT_GY0QSY4H	7316-1075	38.68	19.94	0.05	NA	NA	NA
BS_JFB984RG	PT_7KBMN6C2	7316-553	73.39	13.1	0.94	NA	NA	NA
BS_JFEZA9KE	PT_F822DBA0	7316-458	54.1	25.98	0.07	NA	NA	NA
BS_JFR750KD	PT_S2SQJVGK	7316-344	46.05	19.02	0	NA	NA	NA
BS_JG9JZTA9	PT_QK4XB83F	7316-663	48.12	17.01	0.02	NA	NA	NA
BS_JGA9BP3A	PT_WE1CHTWK	7316-87	37.98	33.14	0.09	NA	NA	NA
BS_JGPR9SR2	PT_ECBD1D5J	7316-2177	34.01	8.76	0	NA	NA	NA
BS_JH29M4KG	PT_0MHKP408	7316-726	35.96	18.48	0	NA	NA	NA
BS_JHGW42S6	PT_EB89G70N	7316-2858	27.66	13.43	0.01	NA	NA	NA
BS_JK0VPG1T	PT_ATS9XDJ5	7316-2159	39.6	13.61	0	NA	NA	NA
BS_JKXA3FQC	PT_4JG5KWE8	7316-50	47.38	18.7	0.01	NA	NA	NA
BS_JMHG7GCN	PT_5CNZ47XV	7316-1926	45.94	14.61	0	NA	NA	NA
BS_JQVAWTTM	PT_M23Q0DC3	A03942	8.79	16.01	0.12	NA	NA	NA
BS_JR5ATB7G	PT_8M6W215T	7316-305	49.2	13.79	2.08	NA	NA	NA
BS_JRYJGYC4	PT_S2BEPYQ0	7316-3000	43.48	20.3	1.27	NA	NA	NA
BS_JS95PE0J	PT_KZ04SDDS	7316-1774	58.02	22.35	0.02	NA	NA	NA
BS_JSPR854S	PT_0H65S44B	7316-3567	27.25	12.96	0	NA	NA	NA
BS_JT82QGXF	PT_MSBPMJ56	7316-306	35.11	19.26	2.86	NA	NA	NA
BS_JTMXAMB7	PT_5F4N0CAP	7316-219	32.47	6.53	0.02	NA	NA	NA
BS_JVA2NQFF	PT_4TASAQKA	7316-3566	49.58	15.08	0	NA	NA	NA
BS_JVW2JJ39	PT_7570EHD9	7316-1064	78.85	68.21	0.1	NA	NA	NA
BS_JWCX8R17	PT_C4F1HPH5	7316-493	29.32	12.31	0	NA	NA	NA
BS_JWSR581E	PT_6E8JYRXM	7316-2729	47.59	13.61	0	NA	NA	NA
BS_JX449BF5	PT_90W4HCNR	7316-2672	52.74	6.93	0	NA	NA	NA
BS_JX7S9MY7	PT_B0JFCN5W	7316-1773	21.7	11.8	0.02	NA	NA	NA
BS_JXNZYGCR	PT_3A87PCQK	7316-480	37.21	12.08	0.01	NA	NA	NA
BS_JZRM1S3T	PT_78NQ0QQS	7316-1651	45.41	13.87	0.15	NA	NA	NA
BS_K17VQECG	PT_KEQ53KRH	7316-440	45.49	39.04	0.54	NA	NA	NA
BS_K25F4J3V	PT_J302B8Y5	7316-386	54.64	25.34	0.21	NA	NA	NA
BS_K2FHZGTK	PT_AXMVG8QE	7316-2732	47.24	10.85	0.01	NA	NA	NA
BS_K2VYFVKZ	PT_PFA762TK	7316-462	42.34	17.81	0	NA	NA	NA
BS_K3ER45RV	PT_QEP13FH4	7316-3025	34.51	12.13	0.49	NA	NA	NA
BS_K5802F84	PT_NZFFMZ0B	7316-923	34.28	9.16	0.02	NA	NA	NA
BS_K74PZET7	PT_ZG4J0EK0	7316-3774	65.48	14.47	0.76	NA	NA	NA
BS_K7MVS0Z7	PT_ADTP7EHN	7316-1664	46.37	15.34	0	NA	NA	NA
BS_K81DR8XG	PT_GH6HM5QF	7316-3202	30.83	15.77	0.46	NA	NA	NA
BS_KABQQA0T	PT_W5GP3F6B	A16915	5.53	29.16	0	NA	NA	NA
BS_KBEX4RT2	PT_84Q11Z5X	7316-288	19.89	20.79	0	NA	NA	NA
BS_KBT7MQ6H	PT_CYBYN18G	7316-2567	54.41	16.61	0.53	NA	NA	NA
BS_KDSTG5YY	PT_2CJ31SBX	7316-3624	40.56	17.23	0.65	NA	NA	NA
BS_KE56MMY0	PT_9PJR0ZK7	7316-935	38.55	48.37	20.08	NA	NA	LHFPL2--TERT/MIR4457
BS_KEA474HN	PT_EQ5C5TEA	7316-3922	35.4	14.85	0.01	NA	NA	NA
BS_KF0ZXDER	PT_CX58G6P6	7316-2191	39.73	8.82	0	NA	NA	NA
BS_KK0JWATQ	PT_XHYBZKCX	7316-1456	18.39	19.8	0	NA	NA	NA
BS_KK5C8VCK	PT_WWME595X	7316-245	19.18	7.58	0	NA	NA	NA
BS_KM2EX0K6	PT_PAW18EK3	7316-1948	64.44	15.36	0	NA	NA	NA
BS_KN92S7YQ	PT_HEGTYPQJ	7316-2562	59.37	12.69	0.07	NA	NA	NA
BS_KND4B5CW	PT_2NQPX1R2	7316-1116	48.46	18.03	0.01	NA	NA	NA
BS_KP735TJ6	PT_MSQ6GSVP	7316-2274	36.07	15.72	0.01	NA	NA	NA
BS_KPT2WPHW	PT_CR2YBSPT	7316-359	36.53	10.9	0.01	NA	NA	NA
BS_KQ6ZW085	PT_SSE4AH59	7316-1776	38.72	12.97	0	NA	NA	NA
BS_KR4MP5ET	PT_AQWDQW27	7316-1476	23.22	10.6	0	NA	NA	NA
BS_KSKZ9J7J	PT_80NVYCBS	7316-765	43.69	13.98	0.11	NA	NA	NA
BS_KVAJYZ6F	PT_JW2FDK4W	7316-334	39.9	8.13	0	NA	NA	NA
BS_KVNGNETA	PT_GGCQAGPS	7316-304	47.4	57.15	1.25	NA	NA	NA
BS_KVV7001W	PT_E8XM8JFZ	7316-324	41.64	19.79	0.05	NA	NA	NA
BS_KX6J8TRK	PT_XA8ASFJK	7316-3762	26.9	12.76	0.02	NA	NA	NA
BS_KXCY5BN5	PT_GH693TT8	7316-2181	46.39	19.05	0.38	NA	NA	NA
BS_KXH37MPN	PT_AP9P5D7N	7316-1117	41.23	17.1	0	NA	NA	NA
BS_KXMYBQ6N	PT_0WKX8Q5X	7316-88	34.53	16.89	0	NA	NA	NA
BS_KYF0Q0E7	PT_5FR2YA6E	7316-109	49.14	12.95	0.43	NA	NA	NA
BS_KZPR01BD	PT_3873YK5S	7316-2862	45.81	8.2	0	NA	NA	NA
BS_M026T44Q	PT_BF3PGTF7	7316-1808	26.42	11.48	0	NA	NA	NA
BS_M0QYNVK8	PT_37B5JRP1	7316-2217	61.65	10.59	0	ATRX--Z83820.1	NA	NA
BS_M15PW2N0	PT_S4A0R1PM	7316-2699	59.22	16.81	1.55	NA	NA	NA
BS_M1PVEHCM	PT_KBDP8ZCR	7316-1889	37.97	12.7	0	NA	NA	NA
BS_M1T1K5WV	PT_C94VR1Y2	7316-2278	25.35	9.24	0.12	NA	NA	NA
BS_M4923M40	PT_MTE126WM	7316-376	50.45	31.45	2.39	NA	NA	NA
BS_M4NVX721	PT_FWD7NZQ0	7316-1108	40.69	12.25	0	NA	NA	NA
BS_M4TTKPNR	PT_YKVK5HTK	7316-441	33.66	12.25	0.01	NA	NA	NA
BS_M7HCF7DW	PT_2WVW55DA	7316-2092	40.47	18	0	NA	NA	NA
BS_M7QJ8VF0	PT_QD6KKKJH	7316-1765	23.98	7.96	9.62	NA	NA	NA
BS_M84H3KXA	PT_RFGZ2JGP	7316-135	41.23	9.99	0.12	NA	NA	NA
BS_M85CXHDV	PT_6PP78VNE	7316-1893	23.04	17.23	0	NA	NA	NA
BS_M86ECPHK	PT_74XM7BV7	7316-312	53.02	21.73	4.48	NA	NA	NA
BS_M8EA6R2A	PT_4347ZBEX	7316-913	46.05	15.85	0.56	NA	NA	NA
BS_M8M56Z4Y	PT_K30AWQ8A	7316-393	44.84	12.96	0	NA	NA	NA
BS_M8WP5T16	PT_02J5CWN5	7316-2989	29.86	14.52	0	NA	NA	NA
BS_M9C4RY4P	PT_NMZBRFYS	7316-1987	48.83	12.54	0	NA	NA	NA
BS_MA1A3GY0	PT_4XWYZYJS	7316-474	22.51	10.44	0	NA	NA	NA
BS_MA2T7ET1	PT_1Z015H6V	7316-3516	23.01	14.91	0	NA	NA	NA
BS_MB7WN0ZB	PT_5BWZA0NT	7316-1102	41.57	14.84	0.22	NA	NA	NA
BS_MBSTWZA6	PT_9C2G356W	7316-3555	38.86	13.96	0	NA	NA	NA
BS_MD3DT41J	PT_WP871F5S	7316-3336	31.49	14.99	0.48	NA	NA	NA
BS_MDBT7S5Z	PT_QTDY0Y9A	7316-3771	47.02	17.15	0.26	NA	NA	NA
BS_ME3HKN2C	PT_3WA1XB8G	7316-70	50.28	11.1	0	NA	NA	NA
BS_MF47B9ZW	PT_7F485CXV	7316-1114	29.1	12.65	0.02	NA	NA	NA
BS_MF9X3PKH	PT_XXZHRPNM	7316-2572	48.18	13.46	0	NA	NA	NA
BS_MGAMKKBD	PT_6R7AE0P3	7316-2653	17.85	12.98	0.03	NA	NA	NA
BS_MKM0EEN1	PT_W4XVT4AJ	7316-548	31.27	12.9	0.04	NA	NA	NA
BS_MKP2Y41Z	PT_3R0P995B	7316-892	32.24	13.82	0	NA	NA	NA
BS_MM20BVW9	PT_JXSDFPNM	7316-2142	36.06	14.01	0	NA	NA	NA
BS_MMNRZ1EQ	PT_WG2Z95B5	7316-2141	38.15	13.83	3.14	NA	NA	NA
BS_MN5XVP5A	PT_RPC00TAJ	7316-2970	23.43	29.03	0	NA	NA	NA
BS_MQCKXD60	PT_FCM7XPVR	7316-2285	32.29	42.73	0.14	NA	NA	NA
BS_MT15SGJN	PT_99S5BPE3	7316-292	27.88	7.76	0.04	NA	NA	NA
BS_MV6ASWV9	PT_ESHACWF6	7316-1790	83.41	22.8	0.02	NA	NA	NA
BS_MVW01FPB	PT_3KM9W8S8	7316-1771	57.42	16.46	0.31	NA	NA	NA
BS_MWWZBQ60	PT_VCD0W8HG	7316-2756	33.6	16.45	0	NA	NA	NA
BS_MX23ZY0Y	PT_Y5KY6KN9	7316-195	53.78	30.78	0.21	NA	NA	NA
BS_MY9D8XZ1	PT_YPCR2XRS	7316-554	43.86	10.68	0	NA	NA	NA
BS_N0877CX1	PT_RRG1V7EP	7316-820	71.53	24.4	1.11	NA	NA	NA
BS_N1E0H8YQ	PT_CGPJY881	7316-891	22.8	22.52	0	NA	NA	NA
BS_N210XMKR	PT_C95KPXSW	7316-869	41.82	22.57	0	NA	NA	NA
BS_N4B1SZZH	PT_K94ZVZMX	7316-521	57.32	15.83	1	NA	NA	NA
BS_N5B2CZMH	PT_3SW2VHD5	7316-2984	29.27	13.75	0.01	NA	NA	NA
BS_N5DVEJXT	PT_VBVZ2NAR	7316-2156	34.56	21.19	1.66	NA	NA	NA
BS_N6N147BY	PT_X648RVMK	7316-238	35.93	16.01	0.45	NA	NA	NA
BS_N6NE6B3W	PT_H0HWHRPB	7316-1679	64.08	11.29	0	NA	NA	NA
BS_N8J1DP02	PT_VE0Q731Y	7316-1641	30.16	12.84	0	NA	NA	NA
BS_NB42PWZN	PT_99S5BPE3	7316-365	63.45	20.25	1.88	NA	NA	NA
BS_NB5XWMJT	PT_ZR8MQRVG	7316-346	31.5	14.37	0	NA	NA	NA
BS_NB9XXBW6	PT_WGVEF96B	A08958	17.24	20.98	0	NA	NA	NA
BS_NDC69214	PT_229DRV7B	7316-1757	23.41	14.56	0	NA	NA	NA
BS_NDFDQBCZ	PT_QPY0H50V	7316-2614	20.24	20.23	0.12	NA	NA	NA
BS_NDN62H0S	PT_124TTG01	7316-1960	24.3	10.12	0.01	NA	NA	NA
BS_NDRDM2A9	PT_PZVE3FWF	7316-240	37.4	12.91	0	NA	NA	NA
BS_NEVYM2FP	PT_EN2RN5Y1	A17997	19.36	19.6	0	NA	NA	NA
BS_NFRXNAFE	PT_RXT6KRR6	7316-3147	70.3	16.01	0	NA	NA	NA
BS_NGHK9RZP	PT_2SCVQ2N6	7316-3631	34.62	20.23	1.35	NA	NA	NA
BS_NGSG2KB6	PT_KTRJ8TFY	A09689	16.18	20.43	0.07	NA	NA	NA
BS_NGY0TE6S	PT_W6CW60K9	7316-380	40.59	22.66	0.03	NA	NA	NA
BS_NH7K4CD9	PT_ZD45GXZ0	7316-2109	57.16	13.23	0.06	NA	NA	NA
BS_NJ4WPQVK	PT_EV71W1JW	7316-349	9.99	22.6	0	ATRX--CYLC1	NA	NA
BS_NKEAAFMW	PT_T03AT4BJ	7316-2708	55.27	25.81	8.76	NA	NA	NA
BS_NKRYMHEP	PT_RT1J9P8J	7316-307	75.09	14.6	0.09	NA	NA	NA
BS_NNPEC7W1	PT_59D00MBQ	7316-2810	33.42	17.32	0	NA	NA	NA
BS_NPA6CZQF	PT_RSDTCFDA	7316-204	14.85	24.61	0.6	NA	NA	NA
BS_NPQJ20KX	PT_6MWPJ96F	7316-1711	32.2	15.68	0	NA	NA	NA
BS_NQB91P48	PT_C1M4YF1R	7316-127	38.68	16.02	0	NA	NA	NA
BS_NQFH3GZH	PT_6PYNBA9C	7316-853	50.2	8.66	0.08	NA	NA	NA
BS_NR3P3GN2	PT_DJ106XYS	7316-3935	33.32	13.99	0.26	NA	NA	NA
BS_NR9FRY5T	PT_YDWBWTVN	7316-147	42.85	16.71	0	NA	NA	NA
BS_NRFQEQKP	PT_3RN24N9X	7316-20	48.19	16.97	0	NA	NA	NA
BS_NRPG5K4K	PT_962TCBVR	7316-2744	46.59	15.74	0	NA	NA	NA
BS_NS7GSHB9	PT_RMK36R2E	7316-2275	43	15	0	NA	NA	NA
BS_NT9NZYFD	PT_FC0EF5ZT	7316-3572	33.29	9.56	0	NA	NA	NA
BS_NVKGSMXS	PT_DA4WFQ96	7316-172	48.59	11.38	0.01	NA	NA	NA
BS_NYS8TRCB	PT_76Q72M5T	7316-397	34.6	13.25	0	NA	NA	NA
BS_NZ71XCG3	PT_7FQ6VECA	7316-3846	86	17.2	0.31	NA	NA	NA
BS_P0QF87WC	PT_8GN3TQRM	7316-2737	32.45	20.39	0.11	NA	NA	NA
BS_P0W5VJH4	PT_DH8A0SNQ	7316-408	7.57	3.6	0	NA	NA	NA
BS_P277RYX5	PT_Y7F2JZMQ	7316-2680	62.41	9.85	0	NA	NA	NA
BS_P39SQPTS	PT_01MZ62KG	7316-447	32.45	26.22	0.93	NA	NA	NA
BS_P44PE00R	PT_APPA7SFD	7316-78	45.91	10.31	0	NA	NA	NA
BS_P4D8Y3S8	PT_F1086Z0A	7316-1101	26.9	16.51	0.31	NA	NA	NA
BS_P4NX9MPA	PT_DFQAH7RS	7316-51	44.75	19.67	0.07	NA	NA	NA
BS_P78SMRBS	PT_YXZPWFVB	7316-966	14.44	5.58	0	NA	NA	NA
BS_P7EY9DXG	PT_H8Z52K09	7316-2224	33.89	23.51	0.28	NA	NA	NA
BS_P9JP6JFA	PT_Y5KY6KN9	7316-195	31.02	27	0.01	NA	NA	NA
BS_PEP9NZXN	PT_7TEHW6VQ	7316-2755	50.54	13.52	0.01	NA	NA	NA
BS_PGHK1JRW	PT_TV5DYHNC	7316-1073	43.69	15.24	1.19	NA	NA	NA
BS_PGK832G2	PT_VTM2STE3	7316-2189	26.12	17.22	0	NA	NA	NA
BS_PJPGVD62	PT_ZZRBX5JT	7316-496	17.51	27.77	0	NA	NA	NA
BS_PK18H7E7	PT_2YT37G8P	7316-399	41.63	14.13	0.01	NA	NA	NA
BS_PKK3BZRG	PT_PHKSYE6Q	7316-220	72.88	5.52	0	NA	NA	NA
BS_PKW05VZV	PT_279D9QZ8	7316-325	43.51	10.6	0	NA	NA	NA
BS_PN2CE34A	PT_54MH6Q46	7316-2591	40.44	33.51	0.19	NA	NA	NA
BS_PNYN0AYD	PT_C2D4JXS1	7316-1746	39.09	16.65	0.01	NA	NA	NA
BS_PQ6QEVE8	PT_RGX23JFP	7316-156	31.52	13.94	0	NA	NA	NA
BS_PQ7CQFYR	PT_R0M1QBY4	7316-905	21.56	17.6	0.01	NA	NA	NA
BS_PQVTB6BB	PT_9W4WTVFZ	7316-1312	52.97	22.05	0.11	NA	NA	NA
BS_PRAEF32W	PT_3PK66TJY	7316-2609	47.07	15.07	0	NA	NA	NA
BS_PRR8K9GE	PT_CEWNZVKF	7316-124	53.12	23.25	0.01	NA	NA	NA
BS_PS0P3QJ3	PT_6D9C46GC	7316-620	11.3	22.39	0.01	NA	NA	NA
BS_PSNBFWQV	PT_J50NZYZF	7316-128	59.1	25.01	0.33	NA	NA	NA
BS_PSW27ZTE	PT_67R1AF5R	7316-889	43.92	13.07	0.01	NA	NA	NA
BS_PXCPK5XS	PT_1B1Z7BRQ	7316-287	11.46	39.39	0	NA	NA	NA
BS_PZVHMSYN	PT_0MJEAART	7316-549	19.52	13.18	0.01	NA	NA	NA
BS_Q13FQ8FV	PT_1DSX4VJM	7316-1708	24.39	17.02	0	NA	NA	NA
BS_Q2T9ZRM0	PT_J4MWGQFQ	7316-2071	25.27	9.23	0	NA	NA	NA
BS_Q3TBCK4V	PT_BK92NM09	7316-2669	45.58	16.86	0	NA	NA	NA
BS_Q5WZYWCT	PT_XHYBZKCX	7316-2972	57.57	8.04	0.02	NA	NA	NA
BS_Q79NP5YY	PT_4Z34K4XB	7316-733	41.49	11.24	0	NA	NA	NA
BS_Q9V7A95C	PT_1DRAVX4S	7316-1968	41.59	14.53	0.04	NA	NA	NA
BS_QAG1RDXN	PT_2WVW55DA	7316-1890	43.49	12.36	0.01	NA	NA	NA
BS_QB7YGKN1	PT_9P7P6YAQ	7316-3052	59.7	16.18	0.01	NA	NA	NA
BS_QB84TBA3	PT_JC4DHFJR	7316-2536	49.47	35.79	0.06	NA	NA	NA
BS_QBR4WCQ2	PT_6PFFSB6D	7316-2569	31.21	13.78	0	NA	NA	NA
BS_QC3XCE6X	PT_GB8MNK85	7316-1086	40.58	11.43	0.01	NA	NA	NA
BS_QEYPFYHD	PT_M0AP3Z15	7316-14	44.09	10.28	0.31	NA	NA	NA
BS_QF5VVZX5	PT_CGWPWSXM	7316-2005	47.32	9.6	0.02	NA	NA	NA
BS_QH82PBMB	PT_JQ45JK94	7316-222	39.13	13.19	0	NA	NA	NA
BS_QHS3V0GP	PT_NESAQHB1	7316-3844	73.3	42.38	1.03	NA	NA	NA
BS_QKT3TJVK	PT_8VRZRZ7R	7316-536	25.65	39.97	0.01	NA	NA	NA
BS_QNAQGAV6	PT_XCX9W17B	7316-16	41.32	10.7	0.01	NA	NA	NA
BS_QNNX91SM	PT_CSKHQB16	A14567	23.27	24.59	0.39	NA	NA	NA
BS_QP6MSKRE	PT_MKDQZ17N	7316-3292	25.7	19.75	0.02	NA	NA	NA
BS_QPPPGYP4	PT_CZRDBM1Q	7316-435	39.33	12.22	0.32	NA	NA	NA
BS_QRDT19KS	PT_24DDXEB5	7316-1715	69.95	13.51	0.77	NA	NA	NA
BS_QRNSKFMS	PT_B5VQ16GW	7316-488	47.94	11.06	0	NA	NA	NA
BS_QSTAVWGE	PT_JP1FDKN9	7316-929	23	9.87	0	NA	NA	NA
BS_QT3NZ2YZ	PT_NESAQHB1	7316-3689	55.46	43.58	4.89	NA	NA	NA
BS_QTSXW7DA	PT_ZD9AYB6F	7316-3323	39.75	14.3	0.18	NA	NA	NA
BS_QV51J756	PT_CWD717Q0	7316-101	39.33	12.36	0.02	NA	NA	NA
BS_QW60M0FE	PT_7M2PGCBV	7316-331	31.35	13.46	0	NA	NA	NA
BS_QWNBZ9RJ	PT_00G007DM	7316-272	54.26	13.83	0.21	NA	NA	NA
BS_QWTE1CWR	PT_1H2REHT2	7316-3022	15.21	21.12	0	NA	NA	NA
BS_QX12J6W1	PT_XRQHMBHB	7316-3937	37.06	23.97	0.41	NA	NA	NA
BS_QXKRN6CR	PT_RM5S859Q	7316-111	37.98	10.52	0.09	NA	NA	NA
BS_QYPHA40N	PT_3AWKWXEV	7316-85	60.2	13.36	0	NA	NA	NA
BS_QZFEB94Q	PT_25Z2NX27	7316-355	25.57	9.07	0	NA	NA	NA
BS_R13X6TMW	PT_J0SZ1SX5	7316-2589	24.98	12.82	0.01	NA	NA	NA
BS_R244Z0WX	PT_JPWVCTAJ	7316-1953	37.5	14.38	0	NA	NA	NA
BS_R439VVPK	PT_26V72ZXB	7316-3576	44.93	33.96	1.84	NA	NA	NA
BS_R4Y180DM	PT_NBSRQAMS	7316-1079	54.49	19.98	0.86	NA	NA	NA
BS_R5SNFB5B	PT_C2D4JXS1	7316-1746	43.7	12.25	0.29	NA	NA	NA
BS_R634WKN7	PT_7JQ24F35	7316-1681	44.98	21.81	0	NA	NA	NA
BS_R6WNEEE4	PT_EGGY1XC0	7316-2865	59.9	20.83	0.08	NA	NA	NA
BS_R7HZCZ8B	PT_0CRPE7YP	7316-2158	38.46	13.64	0	NA	NA	NA
BS_R7NTZR4C	PT_0MXPTTM3	A09410	10.92	33.99	0	NA	NA	NA
BS_R9B92M75	PT_1YQH5NSH	A20091	17.65	15.87	0.23	NA	NA	NA
BS_RB2S0KDF	PT_A9YAZJNN	7316-263	47.34	13.06	0.01	NA	NA	NA
BS_RCC8BXVE	PT_WWZ2Q14R	7316-3138	53.47	14.71	0.01	NA	NA	NA
BS_RCCN63K6	PT_RPC00TAJ	7316-231	36.68	26.98	0	NA	NA	NA
BS_RCFQ31XF	PT_3R0P995B	7316-873	51.1	11.99	0	NA	NA	NA
BS_RD4D5F9F	PT_NTEKMKTX	7316-1650	62.55	23.21	0.32	NA	NA	NA
BS_RFMQ7T0T	PT_E3Y5BBSF	7316-3071	39.14	22.13	0.03	NA	NA	NA
BS_RGPSEMHC	PT_3A2Q62RD	7316-2243	37.96	11.24	0	NA	NA	NA
BS_RGSMX7QD	PT_4EDBZRM2	7316-1952	39.14	10.53	0	NA	NA	NA
BS_RHD7XPNP	PT_JN3EN2HR	7316-2267	24.62	13.52	0	NA	NA	NA
BS_RQSKD7PN	PT_2E552BAR	7316-3066	37.12	16.09	0	NA	NA	NA
BS_RR12T74P	PT_DTP4MMRA	7316-1463	35.4	16.91	0	NA	NA	NA
BS_RRAEQZ97	PT_FXPJM0MW	7316-207	50.19	14	0	NA	NA	NA
BS_RSRPX3S8	PT_GR8P8NY5	7316-178	29.62	27.42	0.32	NA	NA	NA
BS_RVSEDNJ4	PT_HGHV85PZ	7316-2300	47.53	17.12	0	NA	NA	NA
BS_RWJZFTP9	PT_S0PBN4M7	7316-1805	45.85	14.7	0	NA	NA	NA
BS_RX1YTZ7F	PT_4XB3YTJM	7316-388	16.3	38.64	0.01	NA	NA	NA
BS_RXN5T5YT	PT_PR4YBBH3	7316-116	25.4	21.65	0.13	NA	NA	NA
BS_S0175QKX	PT_0NY38X3W	7316-1706	30.99	18.87	0.29	NA	NA	NA
BS_S1KK7XRH	PT_YJBPEF4V	7316-938	38.42	17.26	0.1	NA	NA	NA
BS_S1M423AB	PT_BRTVGGRK	7316-2893	87.55	17.06	1.1	NA	NA	NA
BS_S2TA8R29	PT_4A2H0KNR	7316-2599	41.55	15.19	0.08	NA	NA	NA
BS_S458NMKH	PT_S2SQJVGK	7316-442	52.12	12.19	0	NA	NA	NA
BS_S4V9E1XJ	PT_Y572BRC1	7316-2193	43.77	15.24	0	NA	NA	NA
BS_S50KQEXV	PT_MPRBGGEJ	7316-2172	40.48	11.86	0	NA	NA	NA
BS_S5P8VTN5	PT_858H7ABM	7316-903	42.04	21.59	0	NA	NA	NA
BS_S69QZAJR	PT_5JA1N2H4	7316-839	48.18	26.67	0.56	NA	NA	NA
BS_S6NJRR5W	PT_VTF65Y63	7316-3513	25.02	11.71	0	NA	NA	NA
BS_S6Q7NKA3	PT_9S6WMQ92	7316-333	38.56	26.49	0.76	NA	NA	NA
BS_S6S7SK3P	PT_37B5JRP1	7316-2554	54.39	13.19	0	NA	NA	NA
BS_S71RJ8DH	PT_E6FTW238	7316-3890	58.91	17.67	1.59	NA	NA	NA
BS_S7CZY2CH	PT_BXXZE0CQ	7316-381	38.3	20.52	0	NA	NA	NA
BS_S9929Z8B	PT_AWMZ12NP	7316-2216	31.25	15.13	0	NA	NA	NA
BS_SAA624A4	PT_EG7PH32E	7316-2144	3.69	1.1	0.01	NA	NA	NA
BS_SB12W1XT	PT_3AWKWXEV	7316-85	41.86	25.11	0	NA	NA	NA
BS_SBFNFZ8B	PT_1EB5KHZX	7316-1076	48.35	9.41	0.01	NA	NA	NA
BS_SD8YBRBR	PT_TPDB1WC8	7316-2777	57.02	56.44	13.67	NA	NA	NA
BS_SDA4RMMG	PT_EW604JB3	7316-1134	38.6	15.81	0	NA	NA	NA
BS_SDCNP7MW	PT_3KWSRWZN	7316-2648	35.36	7.83	0	NA	NA	NA
BS_SDZY6RZ3	PT_5GQ76YZJ	7316-168	37.55	13.15	0.06	NA	NA	NA
BS_SES41DAX	PT_GKSABESN	7316-3485	37.29	11.8	0.01	NA	NA	NA
BS_SFKZSJN1	PT_409Y4N1N	7316-84	48.12	12.33	0	NA	NA	NA
BS_SFRQXM76	PT_DPVW4M1W	7316-2271	13.9	16.54	0.96	NA	NA	NA
BS_SHJA4MR0	PT_Z4BF2NSB	7316-161	64.12	31.68	0.05	NA	NA	NA
BS_SHMC4902	PT_TPSMT960	7316-400	39.36	18.18	0	NA	NA	NA
BS_SKGJ5SY9	PT_D1WJ3BJX	7316-358	67.31	15.59	0.23	NA	NA	NA
BS_SM8VQFPD	PT_5KP2E0DS	7316-3936	54.02	17.78	0.14	NA	NA	NA
BS_SNVM7CZT	PT_H2HT2WQX	7316-619	15.84	31.02	0	NA	NA	NA
BS_SQX5E15Z	PT_1N6ATKJS	7316-2725	47.14	17.81	0	NA	NA	NA
BS_SXCZ3CXN	PT_CMB6TASJ	7316-505	32.31	13.24	0	NA	NA	NA
BS_SXRS2P6T	PT_7YGZ526E	7316-1978	43.9	17.07	0	NA	NA	NA
BS_T0RKFEKR	PT_AYVKQZRB	7316-612	31.32	14.16	0	NA	NA	NA
BS_T1DVKKJB	PT_JP1FDKN9	7316-2959	34.75	17.1	0.6	NA	NA	NA
BS_T1QMEH1N	PT_EXJAEW1M	7316-188	19.96	13.83	0	NA	NA	NA
BS_T1W4JA94	PT_QT9T89S5	7316-297	45.01	12.27	0	NA	NA	NA
BS_T1YHK6B7	PT_DNH1VP67	7316-1062	31.64	22.89	0.36	NA	NA	NA
BS_T2QPMZCM	PT_6VJ5PNKS	7316-2174	51.28	14.36	0	NA	NA	NA
BS_T3DGY9J9	PT_JSFBMK5V	7316-392	14.83	20.72	0	NA	NA	NA
BS_T3H5AY8A	PT_KMHGNCNR	7316-350	15.29	15.6	0.11	NA	NA	NA
BS_T4JFN54G	PT_8XZY6MM1	7316-957	34.42	11.5	0	NA	NA	NA
BS_T4P3J13C	PT_N9KYV4WB	7316-749	47.72	12.28	0.01	NA	NA	NA
BS_T55Y4Z0Y	PT_VBNP6JFB	7316-1095	27.97	16.98	0.01	NA	NA	NA
BS_TA9WP4TH	PT_B7QRTN72	7316-1802	46.75	16.32	0.56	NA	NA	NA
BS_TAHV8N04	PT_KCTZZA3G	7316-216	39.34	14.61	0	NA	NA	NA
BS_TBWYAFSM	PT_625X34JX	7316-2170	29.56	12.12	0	NA	NA	NA
BS_TCGEZJ5F	PT_W17NV5YG	7316-2106	43.06	15.99	0	NA	NA	NA
